FSC-A	FSC-H	SSC-A	SSC-H	APC-A	APC-R700-A	BUV395-A	BUV737-A	BV421-A	BV480-A	BV605-A	BV650-A	BV711-A	BV786-A	FITC-A	NIR-A	PE-A	PE-CF594-A	PE-Cy5-A	PE-Cy7-A	Time	Sample
104974.90625	89499	58689.00390625	52095	680.4000244140625	1851.6600341796875	97.1500015258789	2550.690185546875	468.0899963378906	17968.23046875	3776.849853515625	5588.10009765625	11049.5703125	8516.33984375	95.4000015258789	2849.580078125	417.45001220703125	314.6000061035156	200.1999969482422	9312.0498046875	3824530.25	AP0301
58005.51171875	52638	39048	35550	1254.9600830078125	6117.1201171875	111.88999938964844	8438.650390625	966.41998291015625	28004.12890625	5119.3798828125	11603.9697265625	44779.76953125	13042.8896484375	115.80000305175781	5910.30029296875	354.75	293.70001220703125	136.9499969482422	9615.650390625	1136010	AP0301
65679.3125	60118	17988.6015625	17266	562.67999267578125	2200.5	99.160003662109375	3005.6201171875	547.469970703125	4935.419921875	5373.27001953125	7577.64013671875	4023.179931640625	8138.33984375	216.00001525878906	2955.960205078125	12301.8505859375	5586.35009765625	1654.9500732421875	1203.9500732421875	1893370	AP0301
92839.5625	79212	32664.001953125	27628	1557.360107421875	9830.16015625	237.1800079345703	10516.990234375	1438.2900390625	22052.51953125	4874.31005859375	13467.509765625	57951.1796875	29439.900390625	249.60000610351562	20373.66015625	9261.4501953125	4079.900146484375	1477.8499755859375	130937.40625	5339850	AP0301
50745.90234375	47442	47862	44626	333.1800231933594	1726.380126953125	75.04000091552734	1742	532.97998046875	9234.5400390625	1978.8299560546875	4405.58984375	7267.68017578125	7840.35009765625	76.80000305175781	2307.420166015625	40.70000076293945	41.25	70.95000457763672	790.9000244140625	5957810.5	AP0301
55461.8125	48943	55795.203125	48383	778.6800537109375	4539.7802734375	156.77999877929687	3283	724.5	7336.35009765625	2770.10986328125	4347	2881.619873046875	3711.330078125	66.600006103515625	3161.7001953125	432.8500061035156	362.45001220703125	124.30000305175781	670.45001220703125	1683150	AP0301
132329.75	119236	43051.203125	41204	3053.16015625	2734.56005859375	73.029998779296875	1354.739990234375	513.45001220703125	8673.83984375	5748.1201171875	10420.2001953125	5119.3798828125	7163.72998046875	82.80000305175781	3190.320068359375	340.45001220703125	543.4000244140625	695.20001220703125	1511.4000244140625	2307250	AP0301
123174.25	110319	52303.203125	48651	512.46002197265625	1816.02001953125	105.19000244140625	2343.66015625	921.05999755859375	15863.3994140625	11610.26953125	17672.759765625	10265.2197265625	13584.0595703125	115.20000457763672	2995.920166015625	614.35003662109375	1161.5999755859375	634.1500244140625	1579.050048828125	2734610	AP0301
81591.7734375	71229	63451.203125	53629	556.20001220703125	4270.3203125	217.75	7932.13037109375	644.489990234375	27136.619140625	5276.8798828125	8404.830078125	16395.119140625	12535.1103515625	133.8000030517578	6302.34033203125	508.75	298.1000061035156	144.10000610351562	24200.55078125	1493790	AP0301
112231.4609375	100779	27941.400390625	26155	7244.10009765625	31184.4609375	204.35000610351562	8506.3203125	952.55999755859375	13997.9697265625	3774.330078125	5589.35986328125	10112.759765625	7249.41015625	136.8000030517578	18397.80078125	7327.10009765625	3308.800048828125	1338.7000732421875	18973.900390625	5014710.5	AP0301
127546.125	112178	51848.40234375	47842	2513.16015625	9085.5	269.3399963378906	9356.5498046875	2362.5	19284.9296875	21842.099609375	35991.26953125	13807.080078125	11014.919921875	109.80000305175781	7987.14013671875	2756.050048828125	3230.150146484375	2088.900146484375	3604.150146484375	2206320	AP0301
88366.4296875	76939	63819.6015625	59791	550.260009765625	4256.2802734375	227.8000030517578	7652.0703125	491.3999938964844	22104.1796875	22265.458984375	21656.25	7517.7900390625	5571.7197265625	1046.4000244140625	3332.880126953125	125975.8515625	53130	14713.05078125	3138.300048828125	4776440	AP0301
88275.5390625	76511	59701.203125	52939	658.260009765625	3019.68017578125	176.2100067138672	5377.419921875	686.07000732421875	30015.08984375	5823.08984375	7040.25	9372.509765625	10779.9296875	123.00000762939453	4100.76025390625	367.95001220703125	138.60000610351562	96.80000305175781	3969.900146484375	2266900	AP0301
61862.54296875	57495	39520.203125	35827	316.44000244140625	1682.10009765625	111.22000122070312	3966.400146484375	610.469970703125	16846.830078125	3432.239990234375	4035.780029296875	4672.080078125	13879.5302734375	142.8000030517578	6226.740234375	1323.300048828125	628.10003662109375	249.15000915527344	37848.80078125	2121380.25	AP0301
73774.015625	61355	70474.8046875	55179	257.58001708984375	3627.72021484375	119.93000030517578	4298.72021484375	678.510009765625	36545.0390625	6591.06005859375	8106.83984375	7313.669921875	11707.2900390625	169.8000030517578	3666.06005859375	151.8000030517578	156.1999969482422	76.45000457763672	3635.5	3969000	AP0301
72209.359375	52627	60591.6015625	40211	1222.02001953125	6842.34033203125	142.04000854492187	11010.1103515625	1502.550048828125	18741.869140625	13554.4501953125	28912.58984375	52682.48828125	19908.62890625	215.40000915527344	7390.98046875	1114.8499755859375	1482.800048828125	829.95001220703125	1950.85009765625	3397900	AP0301
55739.97265625	49630	41794.203125	38458	339.1200256347656	4046.22021484375	262.6400146484375	7964.2900390625	888.92999267578125	8406.7197265625	6881.48974609375	6703.19970703125	4544.18994140625	7394.31005859375	396.6000061035156	3825.900146484375	40695.05078125	16959.80078125	4484.14990234375	1858.4500732421875	3843870	AP0301
